name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;983;0;960;3055;1026;3055;1026;0
header;188;89;188;121;1830;121;1830;89
A;998;154;998;181;1018;181;1018;154
B;994;830;994;855;1013;855;1013;830
C;988;1505;988;1532;1008;1532;1008;1505
A;965;2009;965;2020;971;2020;971;2009
D;990;2175;990;2201;1010;2201;1010;2175
A;964;2377;964;2382;969;2382;969;2377
A;960;2419;960;2422;971;2422;971;2419
D;960;2473;960;2500;975;2500;975;2473
A;964;2769;964;2773;973;2773;973;2769
D;957;2797;957;2815;972;2815;972;2797
